date,price,log_return
2008-01-03,23.54,0.026691209985591602
2008-01-04,23.55,0.00042471863029636125
2008-01-07,23.66,0.004660038087813678
2008-01-08,23.7,0.001689189590845075
2008-01-09,23.42,-0.011884689971514373
2008-01-10,23.11,-0.013324933883281709
2008-01-11,23.11,0.0
2008-01-14,23.41,0.012897857216529918
2008-01-15,23.17,-0.010304943058534466
2008-01-16,22.75,-0.018293193047325573
2008-01-17,22.23,-0.02312241742085419
2008-01-18,22.28,0.0022466870829780383
2008-01-21,20.84,-0.0668151981739169
2008-01-22,20.31,-0.02576084129287315
2008-01-23,20.03,-0.013882225914566337
2008-01-24,19.76,-0.013571457358005024
2008-01-25,21.04,0.06276569554978728
2008-01-28,20.65,-0.018710068462467255
2008-01-29,20.7,0.0024183808642814775
2008-01-30,20.08,-0.030409405447795024
2008-01-31,19.1,-0.05003595977094388
2008-02-01,19.22,0.006263068489562151
2008-02-04,19.19,-0.0015620935225379995
2008-02-05,18.84,-0.018407040871391445
2008-02-06,19.97,0.058248878279506755
2008-02-07,20.44,0.023262617907779948
2008-02-08,20.39,-0.002449180749140023
2008-02-11,20.16,-0.01134414138319606
2008-02-12,19.97,-0.009469295775443864
2008-02-13,19.93,-0.0020050132030204892
2008-02-14,20.72,0.03887328316657879
2008-02-15,20.87,0.007213303697827023
2008-02-18,20.93,0.0028708153687992954
2008-02-19,21.64,0.033359917520372484
2008-02-20,21.5,-0.006490518844664006
2008-02-21,21.7,0.009259325412796837
2008-02-22,21.48,-0.010189990905749902
2008-02-25,21.59,0.00510797488605208
2008-02-26,21.35,-0.011178504852082494
2008-02-27,21.26,-0.00422436676083171
2008-02-28,21.16,-0.004714765923703013
2008-02-29,21.31,0.007063839120426962
2008-03-03,20.88,-0.020384683096087652
2008-03-04,20.67,-0.01010838932076119
2008-03-05,21.24,0.027202822680060912
2008-03-06,21.35,0.005165543300895692
2008-03-07,21.38,0.0014041659222656655
2008-03-10,21.66,0.013011335975945393
2008-03-11,21.86,0.009191241175547926
2008-03-12,21.95,0.004108656772787711
2008-03-13,22.55,0.026967926427507116
2008-03-14,22.21,-0.015192428042351214
2008-03-17,21.43,-0.03575082842085031
2008-03-18,21.66,0.010675432087358772
2008-03-19,21.56,-0.004627495532048442
2008-03-20,21.97,0.018838140355722732
2008-03-25,22.54,0.02561362221511132
2008-03-26,22.51,-0.00133185369298916
2008-03-27,22.26,-0.011168309071242
2008-03-28,21.76,-0.022717923859656874
2008-03-31,22.27,0.023167059281534286
2008-04-01,22.52,0.01116332200221315
2008-04-02,23.42,0.03918655489808165
2008-04-03,23.47,0.002132651693361076
2008-04-04,23.31,-0.006840556815266741
2008-04-07,23.82,0.021643110879488336
2008-04-08,23.51,-0.013099701375175687
2008-04-09,23.69,0.007627155618715964
2008-04-10,24.44,0.03116811613270043
2008-04-11,24.38,-0.0024580102502693713
2008-04-14,25.0,0.02511270081507533
2008-04-15,25.14,0.0055843782939009046
2008-04-16,24.8,-0.013616549991164906
2008-04-17,24.69,-0.004445349813848587
2008-04-18,24.51,-0.0073171058170666825
2008-04-21,25.23,0.028952565112945194
2008-04-22,25.34,0.004350412240026635
2008-04-23,25.0,-0.01350835002479256
2008-04-24,24.51,-0.01979462732817927
2008-04-25,24.74,0.009340169424320699
2008-04-28,24.63,-0.004456154831895542
2008-04-29,24.19,-0.018025887510510596
2008-04-30,23.88,-0.012898036097534593
2008-05-01,23.56,-0.01349092974101529
2008-05-02,24.5,0.03912275876729554
2008-05-06,25.31,0.03252645700635126
2008-05-07,25.03,-0.011124469113350077
2008-05-08,24.91,-0.004805776169593656
2008-05-09,25.17,0.010383479873135482
2008-05-12,25.39,0.008702586569362403
2008-05-13,25.04,-0.01388084948468915
2008-05-14,24.46,-0.023435415972871354
2008-05-15,24.68,0.008954068778160629
2008-05-16,24.89,0.00847291734231348
2008-05-19,25.31,0.016733458177532246
2008-05-20,25.36,0.0019735550119923673
2008-05-21,25.73,0.014484496724627594
2008-05-22,26.06,0.012743945403046464
2008-05-23,26.11,0.001916811014338382
2008-05-26,26.38,0.010287764578130965
2008-05-27,26.34,-0.0015174509740334408
2008-05-28,26.19,-0.0057110377955145175
2008-05-29,26.59,0.015157546735308003
2008-05-30,26.1,-0.018599890926280782
2008-06-02,26.34,0.009153381986487297
2008-06-03,27.13,0.0295514303557054
2008-06-04,26.6,-0.019728910883186845
2008-06-05,26.44,-0.006033200804167915
2008-06-06,27.54,0.04076147831702315
2008-06-09,27.49,-0.0018171911233544336
2008-06-10,27.2,-0.010605328875203046
2008-06-11,27.32,0.004402061400637702
2008-06-12,27.16,-0.005873732012093846
2008-06-13,27.0,-0.005908436686166141
2008-06-16,27.13,0.0048032606665113775
2008-06-17,27.24,0.004046354610470981
2008-06-18,27.5,0.009499523391214293
2008-06-19,27.64,0.005077994226943439
2008-06-20,27.41,-0.008356088584774657
2008-06-23,27.77,0.01304839100401356
2008-06-24,27.78,0.00036003600748957254
2008-06-25,27.59,-0.006862949097003135
2008-06-26,27.88,0.010456197663128552
2008-06-27,28.34,0.01636464837021112
2008-06-30,28.77,0.0150589433009225
2008-07-01,29.33,0.01927770542590279
2008-07-02,27.99,-0.046763579461997384
2008-07-03,27.45,-0.019481135571822517
2008-07-04,27.64,0.006897830943929595
2008-07-07,27.51,-0.004714423962985936
2008-07-08,25.79,-0.06456275504322972
2008-07-09,26.02,0.008878653191105812
2008-07-10,26.68,0.025048747963063445
2008-07-11,27.45,0.02845194690811681
2008-07-14,27.26,-0.0069457416871530064
2008-07-15,26.32,-0.03509131981127034
2008-07-16,25.03,-0.05025400101343358
2008-07-17,25.76,0.02874779579247022
2008-07-18,24.5,-0.050149783685471405
2008-07-21,24.49,-0.0004082465866050988
2008-07-22,24.67,0.007323059577188928
2008-07-23,24.74,0.0028334364230766518
2008-07-24,25.14,0.016038836197759476
2008-07-25,24.94,-0.007987262910210902
2008-07-28,24.41,-0.02148005584702206
2008-07-29,23.63,-0.032475793206052206
2008-07-30,22.7,-0.04015216671145927
2008-07-31,22.06,-0.0285989106620006
2008-08-01,21.38,-0.031310108228457256
2008-08-04,21.21,-0.00798313702030784
2008-08-05,21.67,0.021456046971676468
2008-08-06,22.26,0.026862530299131215
2008-08-07,22.82,0.02484599858653036
2008-08-08,22.61,-0.009245058144050855
2008-08-11,22.65,0.00176756563916447
2008-08-12,23.31,0.02872260111862257
2008-08-13,23.67,0.015325970478226925
2008-08-14,23.43,-0.01019117100618816
2008-08-15,23.19,-0.010296101252263767
2008-08-18,23.59,0.017101742152143107
2008-08-19,23.73,0.005917177028088361
2008-08-20,24.42,0.028662398234886588
