date,price,log_return,regime
2008-07-01,29.33,0.0192777054259027,0
2008-07-02,27.99,-0.0467635794619973,1
2008-07-03,27.45,-0.0194811355718225,1
2008-07-04,27.64,0.0068978309439295,1
2008-07-07,27.51,-0.0047144239629859,1
2008-07-08,25.79,-0.0645627550432297,1
2008-07-09,26.02,0.0088786531911058,1
2008-07-10,26.68,0.0250487479630634,1
2008-07-11,27.45,0.0284519469081168,1
2008-07-14,27.26,-0.006945741687153,1
2008-07-15,26.32,-0.0350913198112703,1
2008-07-16,25.03,-0.0502540010134335,1
2008-07-17,25.76,0.0287477957924702,1
2008-07-18,24.5,-0.0501497836854714,1
2008-07-21,24.49,-0.000408246586605,1
2008-07-22,24.67,0.0073230595771889,1
2008-07-23,24.74,0.0028334364230766,1
2008-07-24,25.14,0.0160388361977594,1
2008-07-25,24.94,-0.0079872629102109,1
2008-07-28,24.41,-0.021480055847022,1
2008-07-29,23.63,-0.0324757932060522,1
2008-07-30,22.7,-0.0401521667114592,1
2008-07-31,22.06,-0.0285989106620006,1
2008-08-01,21.38,-0.0313101082284572,1
2008-08-04,21.21,-0.0079831370203078,1
2008-08-05,21.67,0.0214560469716764,1
2008-08-06,22.26,0.0268625302991312,1
2008-08-07,22.82,0.0248459985865303,1
2008-08-08,22.61,-0.0092450581440508,1
2008-08-11,22.65,0.0017675656391644,1
2008-08-12,23.31,0.0287226011186225,1
2008-08-13,23.67,0.0153259704782269,1
2008-08-14,23.43,-0.0101911710061881,1
2008-08-15,23.19,-0.0102961012522637,1
2008-08-18,23.59,0.0171017421521431,1
2008-08-19,23.73,0.0059171770280883,1
2008-08-20,24.42,0.0286623982348865,1
2008-08-21,24.72,0.0122101639069311,1
2008-08-22,24.58,-0.0056795284516009,1
2008-08-25,24.37,-0.0085802365007738,1
2008-08-26,24.72,0.0142597649523747,1
2008-08-27,25.14,0.0168475705726116,1
2008-08-28,25.17,0.001192605985123,1
2008-08-29,25.19,0.0007942812172943,1
2008-09-01,24.96,-0.0091725468632919,1
2008-09-02,24.72,-0.009661910911737,1
2008-09-03,24.45,-0.0109824166686087,1
2008-09-04,24.65,0.0081466845678179,1
2008-09-05,24.4,-0.0101937681895427,1
2008-09-08,24.19,-0.0086438076772203,1
2008-09-09,22.86,-0.0565506662552715,1
2008-09-10,22.77,-0.0039447782910162,1
2008-09-11,23.07,0.013089192110014,1
2008-09-12,23.9,0.0353453867518029,1
2008-09-15,23.03,-0.0370807451048711,1
2008-09-16,22.91,-0.0052242173671896,1
2008-09-17,23.25,0.0147316355679611,1
2008-09-18,23.78,0.0225397592292702,1
2008-09-19,24.68,0.0371483077745513,1
2008-09-22,24.85,0.0068645535054505,1
2008-09-23,25.06,0.0084151969252843,1
2008-09-24,24.65,-0.0164960489792229,1
2008-09-25,24.67,0.0008110300525663,1
2008-09-26,24.45,-0.0089577146203843,1
2008-09-29,23.19,-0.0529090646534404,1
2008-09-30,22.35,-0.0368948302078626,1
2008-10-01,22.83,0.0212491394821263,1
2008-10-02,23.14,0.0134872612238261,1
2008-10-03,23.07,-0.0030296495798682,1
2008-10-06,22.08,-0.0438608507767677,1
2008-10-07,22.25,0.0076697872033548,1
2008-10-08,21.81,-0.0199734283987118,1
2008-10-09,22.5,0.0311467289968367,1
2008-10-10,22.04,-0.0206563249256603,1
2008-10-13,22.84,0.0356544005030956,1
2008-10-14,23.29,0.0195106991084399,1
2008-10-15,22.82,-0.02038673946232,1
2008-10-16,21.91,-0.0406941908265543,1
2008-10-17,21.68,-0.0105529770359296,1
2008-10-20,21.8,0.0055197932235979,1
2008-10-21,21.25,-0.0255530744246175,1
2008-10-22,19.9,-0.065637163639979,1
2008-10-23,20.19,0.0144677005942992,1
2008-10-24,19.14,-0.0534070462999376,1
2008-10-27,17.87,-0.0686570568534716,1
