,normal,stressed,crashed
normal,0.9789158093750073,0.021084076104230014,1.1452076267506916e-07
stressed,0.011702323368242696,0.9723577987107667,0.015939877920990667
crashed,9.485453056376288e-21,0.07706787131183052,0.9229321286881694
